NAME,LINK,SUBMISSIONS,ACCURACY
"
Life, the Universe, and Everything
",https://www.codechef.com//problems/TEST,131578,35.02
"
Factorial
",https://www.codechef.com//problems/FCTRL,52072,36.01
"
Ciel and A-B Problem
",https://www.codechef.com//problems/CIELAB,43155,34.98
"
Racing Horses
",https://www.codechef.com//problems/HORSES,30362,35.04
"
Uncle Johny
",https://www.codechef.com//problems/JOHNY,26919,55.75
"
Cleaning Up
",https://www.codechef.com//problems/CLEANUP,21782,47.59
"
Coin Flip
",https://www.codechef.com//problems/CONFLIP,19133,44.13
"
Chef and Notebooks
",https://www.codechef.com//problems/CNOTE,17459,37.28
"
Transform the Expression
",https://www.codechef.com//problems/ONP,14996,51.87
"
Carvans
",https://www.codechef.com//problems/CARVANS,14607,41.92
"
Count Substrings
",https://www.codechef.com//problems/CSUB,14339,32.83
"
Jewels and Stones
",https://www.codechef.com//problems/STONES,13968,43.84
"
Paying up
",https://www.codechef.com//problems/MARCHA1,13545,38.66
"
The Minimum Number Of Moves
",https://www.codechef.com//problems/SALARY,13524,41.62
"
Maximum Weight Difference
",https://www.codechef.com//problems/MAXDIFF,13413,29.49
"
Nuclear Reactors
",https://www.codechef.com//problems/NUKES,12367,32.89
"
Chef and Feedback
",https://www.codechef.com//problems/ERROR,12070,44.21
"
Buying Sweets
",https://www.codechef.com//problems/BUYING2,11472,45.85
"
Prime Generator
",https://www.codechef.com//problems/PRIME1,11345,18.04
"
Discrepancies in the Voters List
",https://www.codechef.com//problems/VOTERS,11136,35.22
"
Dividing Stamps
",https://www.codechef.com//problems/DIVIDING,10694,50.47
"
Little Elephant and Permutations
",https://www.codechef.com//problems/LEPERMUT,10641,63.35
"
Chopsticks
",https://www.codechef.com//problems/TACHSTCK,9831,44.91
"
A Very Easy Problem!
",https://www.codechef.com//problems/EASYPROB,9050,54.26
"
Chef and The Right Triangles
",https://www.codechef.com//problems/RIGHTRI,8721,54.69
"
Arranging Cup-cakes
",https://www.codechef.com//problems/RESQ,8330,43.26
"
Chef-jumping
",https://www.codechef.com//problems/OJUMPS,8220,43.83
"
Splitting Candies
",https://www.codechef.com//problems/SPCANDY,8002,28.16
"
Counting Pretty Numbers
",https://www.codechef.com//problems/NUM239,7843,66
"
Number Game Revisited
",https://www.codechef.com//problems/NUMGAME2,7350,48.55
"
Copy-Paste
",https://www.codechef.com//problems/RRCOPY,7214,56.51
"
Tourist Translations
",https://www.codechef.com//problems/TOTR,7034,63.34
"
The Best Box
",https://www.codechef.com//problems/J7,6861,63.78
"
Your Name is Mine
",https://www.codechef.com//problems/NAME2,6793,33.51
"
GCD2
",https://www.codechef.com//problems/GCD2,6737,28.76
"
Subtraction Game 1
",https://www.codechef.com//problems/AMSGAME1,6591,49.07
"
Magic Pairs
",https://www.codechef.com//problems/ALEXNUMB,6484,36.39
"
Processing a string
",https://www.codechef.com//problems/KOL15A,6392,65.14
"
Little Elephant and Bombs
",https://www.codechef.com//problems/LEBOMBS,6339,35.37
"
Divide the Cake
",https://www.codechef.com//problems/ANUDTC,6272,50.39
"
Compilers and parsers
",https://www.codechef.com//problems/COMPILER,5861,27.01
"
Permutation Cycles
",https://www.codechef.com//problems/PCYCLE,5682,46.14
"
Walk on the Axis
",https://www.codechef.com//problems/ANUWTA,5290,42.51
"
Fire Escape Routes
",https://www.codechef.com//problems/FIRESC,5222,35.11
"
Decreasing String
",https://www.codechef.com//problems/DECSTR,5213,31.7
"
Please like me
",https://www.codechef.com//problems/PLZLYKME,5210,28.66
"
Suraj goes shopping
",https://www.codechef.com//problems/ANUBTG,4983,50.62
"
Lucky Long
",https://www.codechef.com//problems/LUCKY5,4817,48.94
"
Walk
",https://www.codechef.com//problems/WALK,4737,41.43
"
Open the Dragon Scroll
",https://www.codechef.com//problems/DRAGNXOR,4685,61.56
"
The Ball And Cups
",https://www.codechef.com//problems/TAVISUAL,4598,46.68
"
Sum Queries
",https://www.codechef.com//problems/RRSUM,4493,38.04
"
Chef and Subarray
",https://www.codechef.com//problems/CHEFZOT,4444,47.33
"
Subarray GCD
",https://www.codechef.com//problems/SUBGCD,4293,44.9
"
Chef and easy problem
",https://www.codechef.com//problems/CHEFA,4186,44.45
"
Even Sum
",https://www.codechef.com//problems/EVENGAME,4084,74.32
"
Chef and Party
",https://www.codechef.com//problems/CHFPARTY,3973,65.45
"
Chef and Stones
",https://www.codechef.com//problems/CHEFSTON,3856,45.97
"
Little Chef and Sums
",https://www.codechef.com//problems/CHEFSUM,3758,29.03
"
Attic Crossing
",https://www.codechef.com//problems/ATTIC,3743,54.43
"
Stone
",https://www.codechef.com//problems/RRSTONE,3623,24.04
"
Fit to Play
",https://www.codechef.com//problems/PLAYFIT,3587,30.56
"
Shortest Path in Binary Trees
",https://www.codechef.com//problems/BINTREE,3480,56.91
"
Little Elephant and Strings
",https://www.codechef.com//problems/LUCKYSTR,3461,56.3
"
Andrew and the Meatballs
",https://www.codechef.com//problems/AMMEAT,3424,30.61
"
Array Rotation
",https://www.codechef.com//problems/ARRROT,3422,28.23
"
Code Crazy Minions
",https://www.codechef.com//problems/NOCODING,3408,59.83
"
Magic Elements
",https://www.codechef.com//problems/ZOZ,3272,60.98
